,k,average cover size,S
34,35,1015.408,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436]"
35,36,1016.955,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012]"
36,37,1022.839,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678]"
37,38,1046.391,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531]"
38,39,1050.111,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531, 2080]"
39,40,1051.223,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531, 2080, 6891]"
40,41,1053.426,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531, 2080, 6891, 4041]"
41,42,1057.272,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531, 2080, 6891, 4041, 6403]"
42,43,1059.663,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531, 2080, 6891, 4041, 6403, 3422]"
43,44,1066.706,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531, 2080, 6891, 4041, 6403, 3422, 1140]"
44,45,1069.477,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531, 2080, 6891, 4041, 6403, 3422, 1140, 6800]"
45,46,1073.742,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531, 2080, 6891, 4041, 6403, 3422, 1140, 6800, 3083]"
46,47,1080.038,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531, 2080, 6891, 4041, 6403, 3422, 1140, 6800, 3083, 1012]"
47,48,1095.703,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531, 2080, 6891, 4041, 6403, 3422, 1140, 6800, 3083, 1012, 1338]"
48,49,1107.523,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531, 2080, 6891, 4041, 6403, 3422, 1140, 6800, 3083, 1012, 1338, 1359]"
49,50,1119.831,"[1143, 10677, 636, 6724, 516, 7585, 354, 6572, 6486, 7324, 7369, 6639, 5848, 4022, 9933, 4510, 5324, 1179, 6376, 6845, 3156, 6467, 6162, 5234, 2258, 6867, 795, 7155, 6705, 3114, 7382, 1545, 1526, 5598, 6436, 7012, 4678, 4531, 2080, 6891, 4041, 6403, 3422, 1140, 6800, 3083, 1012, 1338, 1359, 3836]"
