,k,average cover size,S
34,35,1210.068,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957]"
35,36,1210.778,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105]"
36,37,1218.566,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800]"
37,38,1219.832,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012]"
38,39,1221.702,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012, 5632]"
39,40,1230.305,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012, 5632, 3083]"
40,41,1242.276,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012, 5632, 3083, 3836]"
41,42,1244.399,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012, 5632, 3083, 3836, 2258]"
42,43,1246.345,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012, 5632, 3083, 3836, 2258, 2630]"
43,44,1248.768,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012, 5632, 3083, 3836, 2258, 2630, 2080]"
44,45,1252.121,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012, 5632, 3083, 3836, 2258, 2630, 2080, 5668]"
45,46,1269.91,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012, 5632, 3083, 3836, 2258, 2630, 2080, 5668, 6705]"
46,47,1270.155,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012, 5632, 3083, 3836, 2258, 2630, 2080, 5668, 6705, 1197]"
47,48,1271.452,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012, 5632, 3083, 3836, 2258, 2630, 2080, 5668, 6705, 1197, 3381]"
48,49,1275.325,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012, 5632, 3083, 3836, 2258, 2630, 2080, 5668, 6705, 1197, 3381, 7235]"
49,50,1278.359,"[1143, 10677, 636, 5848, 7155, 6486, 6467, 5234, 6577, 6639, 4510, 7324, 7369, 6572, 7585, 1179, 6162, 5324, 3114, 6376, 7382, 7795, 1338, 6845, 6867, 4531, 795, 7180, 3156, 617, 4299, 1545, 6891, 683, 4957, 7105, 6800, 1012, 5632, 3083, 3836, 2258, 2630, 2080, 5668, 6705, 1197, 3381, 7235, 2407]"
