,k,average cover size,S
35,36,418.462,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255]"
36,37,421.237,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470]"
37,38,422.155,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730]"
38,39,423.3,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730, 496]"
39,40,423.572,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730, 496, 521]"
40,41,425.29,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730, 496, 521, 185]"
41,42,428.357,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730, 496, 521, 185, 1067]"
42,43,427.448,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730, 496, 521, 185, 1067, 894]"
43,44,427.975,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730, 496, 521, 185, 1067, 894, 327]"
44,45,426.845,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730, 496, 521, 185, 1067, 894, 327, 10]"
45,46,429.408,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730, 496, 521, 185, 1067, 894, 327, 10, 66]"
46,47,434.672,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730, 496, 521, 185, 1067, 894, 327, 10, 66, 1066]"
47,48,435.374,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730, 496, 521, 185, 1067, 894, 327, 10, 66, 1066, 30]"
48,49,436.083,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730, 496, 521, 185, 1067, 894, 327, 10, 66, 1066, 30, 450]"
49,50,437.078,"[40, 104, 232, 23, 298, 563, 627, 71, 326, 380, 6, 112, 587, 597, 236, 414, 214, 488, 22, 184, 605, 629, 307, 822, 312, 527, 147, 426, 774, 125, 723, 542, 846, 560, 311, 255, 470, 730, 496, 521, 185, 1067, 894, 327, 10, 66, 1066, 30, 450, 222]"
