,k,average cover size,S
25,26,1060.507,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467]"
26,27,1064.566,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867]"
27,28,1066.291,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639]"
28,29,1069.857,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598]"
29,30,1086.075,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705]"
30,31,1085.543,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258]"
31,32,1088.602,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162]"
32,33,1092.871,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845]"
33,34,1095.787,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577]"
34,35,1095.994,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537]"
35,36,1098.913,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510]"
36,37,1098.409,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312]"
37,38,1110.585,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709]"
38,39,1115.053,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709, 3156]"
39,40,1118.206,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709, 3156, 1545]"
40,41,1125.78,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709, 3156, 1545, 7795]"
41,42,1128.175,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709, 3156, 1545, 7795, 1012]"
42,43,1130.458,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709, 3156, 1545, 7795, 1012, 9509]"
43,44,1129.42,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709, 3156, 1545, 7795, 1012, 9509, 9511]"
44,45,1130.334,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709, 3156, 1545, 7795, 1012, 9509, 9511, 9512]"
45,46,1133.225,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709, 3156, 1545, 7795, 1012, 9509, 9511, 9512, 6817]"
46,47,1136.281,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709, 3156, 1545, 7795, 1012, 9509, 9511, 9512, 6817, 5861]"
47,48,1133.574,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709, 3156, 1545, 7795, 1012, 9509, 9511, 9512, 6817, 5861, 683]"
48,49,1144.972,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709, 3156, 1545, 7795, 1012, 9509, 9511, 9512, 6817, 5861, 683, 3083]"
49,50,1142.547,"[1143, 10677, 7155, 5848, 7324, 6486, 7105, 2523, 4510, 516, 7369, 1524, 6572, 636, 7585, 7051, 9198, 6116, 354, 6990, 6376, 6436, 1179, 5668, 4531, 6467, 6867, 6639, 5598, 6705, 2258, 6162, 6845, 6577, 2537, 9510, 7312, 5709, 3156, 1545, 7795, 1012, 9509, 9511, 9512, 6817, 5861, 683, 3083, 6907]"
