,k,average cover size,S
27,28,452.472,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690]"
28,29,453.533,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545]"
29,30,452.984,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214]"
30,31,455.056,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426]"
31,32,455.052,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774]"
32,33,456.107,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6]"
33,34,456.153,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4]"
34,35,456.624,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380]"
35,36,457.808,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64]"
36,37,457.938,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660]"
37,38,458.658,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340]"
38,39,461.25,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340, 597]"
39,40,462.714,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340, 597, 391]"
40,41,462.262,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340, 597, 391, 440]"
41,42,462.612,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340, 597, 391, 440, 928]"
42,43,463.905,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340, 597, 391, 440, 928, 101]"
43,44,466.146,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340, 597, 391, 440, 928, 101, 469]"
44,45,466.075,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340, 597, 391, 440, 928, 101, 469, 147]"
45,46,465.983,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340, 597, 391, 440, 928, 101, 469, 147, 149]"
46,47,467.06,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340, 597, 391, 440, 928, 101, 469, 147, 149, 185]"
47,48,467.146,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340, 597, 391, 440, 928, 101, 469, 147, 149, 185, 255]"
48,49,469.35,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340, 597, 391, 440, 928, 101, 469, 147, 149, 185, 255, 236]"
49,50,470.793,"[104, 10, 298, 23, 71, 40, 587, 563, 22, 184, 634, 232, 723, 542, 846, 633, 30, 313, 527, 126, 390, 1066, 488, 312, 188, 321, 414, 690, 545, 214, 426, 774, 6, 4, 380, 64, 660, 340, 597, 391, 440, 928, 101, 469, 147, 149, 185, 255, 236, 543]"
