,k,average cover size,S
24,25,314.845,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222]"
25,26,317.066,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252]"
26,27,318.767,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255]"
27,28,318.488,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256]"
28,29,320.144,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260]"
29,30,322.196,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340]"
30,31,321.004,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469]"
31,32,323.575,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126]"
32,33,325.894,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236]"
33,34,325.718,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440]"
34,35,329.567,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774]"
35,36,330.093,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488]"
36,37,331.428,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125]"
37,38,332.5,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313]"
38,39,334.493,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313, 598]"
39,40,334.974,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313, 598, 326]"
40,41,336.703,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313, 598, 326, 986]"
41,42,338.712,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313, 598, 326, 986, 730]"
42,43,345.315,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313, 598, 326, 986, 730, 1066]"
43,44,346.863,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313, 598, 326, 986, 730, 1066, 527]"
44,45,348.007,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313, 598, 326, 986, 730, 1066, 527, 485]"
45,46,351.044,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313, 598, 326, 986, 730, 1066, 527, 485, 431]"
46,47,352.827,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313, 598, 326, 986, 730, 1066, 527, 485, 431, 348]"
47,48,353.838,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313, 598, 326, 986, 730, 1066, 527, 485, 431, 348, 543]"
48,49,353.531,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313, 598, 326, 986, 730, 1066, 527, 485, 431, 348, 543, 450]"
49,50,355.076,"[51, 104, 71, 23, 40, 380, 22, 563, 184, 30, 634, 106, 214, 232, 542, 346, 312, 112, 597, 846, 6, 248, 414, 124, 222, 252, 255, 256, 260, 340, 469, 126, 236, 440, 774, 488, 125, 313, 598, 326, 986, 730, 1066, 527, 485, 431, 348, 543, 450, 749]"
