,k,average cover size,S
34,35,1293.106,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180]"
35,36,1297.796,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162]"
36,37,1296.529,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572]"
37,38,1297.999,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598]"
38,39,1302.023,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598, 7585]"
39,40,1305.677,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598, 7585, 5234]"
40,41,1303.414,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598, 7585, 5234, 6436]"
41,42,1308.336,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598, 7585, 5234, 6436, 4743]"
42,43,1322.776,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598, 7585, 5234, 6436, 4743, 795]"
43,44,1329.794,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598, 7585, 5234, 6436, 4743, 795, 1545]"
44,45,1333.277,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598, 7585, 5234, 6436, 4743, 795, 1545, 6800]"
45,46,1337.859,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598, 7585, 5234, 6436, 4743, 795, 1545, 6800, 424]"
46,47,1335.826,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598, 7585, 5234, 6436, 4743, 795, 1545, 6800, 424, 1268]"
47,48,1336.625,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598, 7585, 5234, 6436, 4743, 795, 1545, 6800, 424, 1268, 5848]"
48,49,1335.802,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598, 7585, 5234, 6436, 4743, 795, 1545, 6800, 424, 1268, 5848, 7105]"
49,50,1341.259,"[1143, 10677, 7155, 6891, 6486, 6639, 3091, 6775, 2537, 7324, 7369, 3156, 354, 7051, 6845, 6376, 1179, 4022, 2523, 6867, 6467, 2258, 6705, 6403, 3114, 5324, 1140, 7795, 5569, 4531, 1338, 7382, 617, 3083, 7180, 6162, 6572, 5598, 7585, 5234, 6436, 4743, 795, 1545, 6800, 424, 1268, 5848, 7105, 4228]"
