,NI,u
472,121.5164865570064,521
473,120.84965766964767,1545
474,120.63601024068015,3212
475,120.43831484263575,590
476,120.32544367194984,1429
477,119.99805439543273,20
478,119.89038656863787,3779
479,119.79576318296424,9334
480,119.77672226021525,1171
481,119.67991163933904,804
482,119.61439776592572,2833
483,119.610370056279,7597
484,119.47934603040501,6021
485,119.34112014007601,4048
486,118.28063864882749,6797
487,118.13275275856061,1466
488,118.08221486407508,120
489,117.30516638409495,2161
490,117.29073975112267,8450
491,117.20997497619072,3789
492,116.87829255880739,1115
493,116.5718686275616,7962
494,116.544030345453,308
495,116.44812987746712,103
496,116.35629901713294,2549
497,116.27231654759967,3553
498,116.18967195783992,1782
499,116.00684949376432,991
500,115.94574599622075,884
501,115.63270513351759,2603
502,115.05888126277819,2069
503,114.96153582916928,2636
504,114.8786174848933,5450
505,114.86922388970893,4426
506,114.55415725657927,1546
507,114.3533793000717,1018
508,114.35337930007167,2243
509,114.21364701816476,2955
510,114.1613182985176,170
511,114.0614729807501,1537
512,114.05796845786519,1870
513,113.99534796976587,5922
514,113.92090721449212,2002
515,113.65852059024016,296
516,113.4146905174257,486
517,113.303640360972,306
518,112.94629974510447,163
519,112.48921690511841,6132
520,112.4556036608776,3320
521,112.09114412340966,6571
522,111.89120437945786,330
523,111.551037227278,890
524,111.42450192232623,1198
525,111.2901067212793,238
526,111.26090750551887,8744
527,111.14268498783323,650
528,111.01646837294004,5664
529,111.00515939253955,9364
530,110.96094112524617,1868
531,110.68554202461715,5221
532,110.68554202461715,5220
533,110.65531861091735,5335
534,110.54416213581295,3673
535,110.31216135574286,5629
536,110.22974804120547,262
537,110.06179457504953,5098
538,110.0527674005798,224
539,110.02840542332693,2721
540,109.89010006379603,1074
541,109.71697758774447,78
542,109.58691257510165,68
543,109.45155444743337,2545
544,109.08942192623181,4156
545,108.94295416347998,2622
546,108.91465828135735,3864
547,108.91465828135732,442
548,108.62048682069253,2315
549,108.56255933299663,2067
550,108.55643693489576,760
551,108.53628198371396,1266
552,108.47637305824496,2626
553,108.26634669881473,186
554,108.19508840892868,6330
555,108.15081781761137,737
556,108.09069460757527,4316
557,108.01429266508666,3682
558,107.7676434698878,471
559,107.56717611845328,375
560,106.93929727339724,3518
561,106.808247883653,332
562,106.79642690961359,7295
563,106.5468646856213,1663
564,106.29594594809345,9964
565,106.24860160338672,173
566,105.68795534945781,481
567,105.5237084850279,1030
568,105.50956763776409,5812
569,105.42889530335839,2117
570,105.42008318547202,67
571,105.09917409690975,1046
572,105.09917409690975,1045
573,104.94210360597067,8293
574,104.93408231313636,284
575,104.20263332480278,4518
576,104.01427917488346,988
577,103.96809403618363,8147
578,103.64211694922768,2551
579,103.4991770467782,2077
580,103.479485881591,503
581,103.47296149942906,1530
582,103.45034736499441,2598
583,103.1899719592183,3283
584,103.0935815702739,1966
585,103.0143693706033,9994
586,102.98055925137507,839
587,102.77957262767451,942
588,102.53048327204938,1377
589,102.0441081101697,5449
590,101.91427406940662,12075
591,101.85049365433996,4458
592,101.83634397800544,5554
593,101.10376071613838,5813
594,100.60096027672367,5999
595,100.59951064124456,225
596,100.56735036283959,2879
597,100.36589565943659,835
598,100.19128008746556,775
599,100.17086438140251,9716
600,100.16917958062078,1852
601,100.08687755951556,6494
602,99.89003419427677,4469
603,99.43284798375674,1569
604,99.30865421838575,794
605,98.99655013214456,295
606,98.70886307994166,1312
607,98.65711302171529,8867
608,98.60593316341406,4545
609,98.55774883968223,39
610,98.25553976703024,2080
611,98.04295889205717,1658
612,97.97238667264659,4696
613,97.94210662427065,5912
614,97.4771987872796,1146
615,97.25989435523623,5
616,97.22951929320932,3078
617,97.22690751746494,367
618,97.16670352111196,876
619,97.10556218077605,523
620,96.9108637953648,1551
621,96.89800927281583,8652
622,96.84938113059867,4266
623,96.4942290380223,4701
624,96.34796898126689,990
625,96.3463218277096,416
626,96.01957210367385,7240
627,95.93009157985021,2462
628,95.49154734623863,383
629,95.47798878138016,717
630,95.4610522674038,3780
631,95.44249389558573,33
632,95.30856542260256,6265
633,95.03288904374105,959
634,95.01396499670955,8536
635,94.66625400978903,6542
636,94.62022143820717,6684
637,94.47116977356373,6142
638,94.45287189211217,827
639,94.35329177054972,753
640,94.3532917705497,3675
641,94.23947953698078,1594
642,93.89763942675805,121
643,93.74986511187221,1078
644,93.73244162740725,809
645,93.43105393516807,340
646,93.33477354895855,3122
647,93.29278612310057,4305
648,93.15551644559109,130
649,93.15551644559109,485
650,92.90204907253656,1930
651,92.85472712536091,3530
652,92.51071998006664,724
653,92.27961118942761,6452
654,91.96355896590181,381
655,91.89034547333345,6133
656,91.45607524862349,605
657,91.45607524862349,3
658,91.16064588983961,1957
659,91.06150452767673,1202
660,91.04718419488061,7097
661,91.02965931000973,2787
662,90.71200986981162,4784
663,90.5176634321921,9568
664,90.3843050251015,7114
665,90.12629189670952,32
666,89.87921172251727,826
667,89.83968364637701,788
668,89.79522330973637,879
669,89.78876881004796,6680
670,89.40302188380302,5093
671,89.37409098651382,2615
672,88.79553917120647,773
673,88.58973205174514,1758
674,88.56308748765032,1263
675,88.1876950330443,244
676,88.10578818045492,8256
677,88.04212590289698,1318
678,87.51764410131712,480
679,87.26296795374094,297
680,87.19178610365888,47
681,87.14421878461343,2038
682,87.1011475694144,153
683,86.9639178189756,4319
684,86.86376751591449,1313
685,86.4340210809479,6699
686,86.3895170680116,739
687,86.2979033638709,695
688,86.25250376854315,4882
689,86.24209276919329,3315
690,85.94137478258556,1539
691,85.89927574146309,548
692,85.68266195891864,517
693,85.64665723647013,1947
694,85.45045271927061,1343
695,85.38714491997257,2836
696,85.2809570918623,880
697,85.22292468765067,659
698,85.17657444092788,2828
699,85.15041603066427,658
700,85.15041603066427,1755
701,84.74098125329506,3028
702,84.51683344577557,2297
703,84.49907715147299,3908
704,84.47410572878692,6271
705,84.42366159256025,292
706,84.34985223248665,2620
707,84.266138142587,1730
708,84.22835573296321,3735
709,84.02380615040002,4273
710,83.92896599842211,7082
711,83.59009968224223,305
712,83.51142220691601,3906
713,83.50721287861147,259
714,83.3804419958196,5455
715,83.37060189729965,10319
716,83.35109687655394,4444
717,83.34070106005386,1578
718,83.33487773074816,57
719,83.30343174869022,1286
720,83.23234523903366,1941
721,83.15810446529842,90
722,83.00806393342229,1691
723,82.94771827955321,7333
724,82.64544450107262,3121
725,82.55394375498645,1221
726,82.54582060892,5925
727,82.53787009609589,707
728,82.14284398504634,1282
729,82.03210118606007,2375
730,82.0102900805984,149
731,81.90266393258213,802
732,81.75266399582767,1570
733,81.68562120516084,4875
734,81.65143544606606,5772
735,81.46271197899898,112
736,81.37132678023428,1189
737,81.35573577579963,4152
738,81.35573577579963,6102
739,81.20194471505933,1370
740,81.16116464115169,8035
741,81.08525703098735,1881
742,81.07926160634184,4878
743,81.07037680105043,10098
744,81.05553651663777,169
745,81.00438644537691,4151
746,80.91437642243798,690
747,80.79877260873295,3647
