,S,average cover size,k
26,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411]",324.242,27
27,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398]",324.26,28
28,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307]",326.234,29
29,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164]",327.145,30
30,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112]",328.933,31
31,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705]",332.221,32
32,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500]",333.124,33
33,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433]",333.368,34
34,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033]",336.558,35
35,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004]",341.025,36
36,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219]",342.458,37
37,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580]",343.385,38
38,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580, 797]",344.926,39
39,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580, 797, 1105]",345.749,40
40,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580, 797, 1105, 113]",347.279,41
41,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580, 797, 1105, 113, 391]",347.083,42
42,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580, 797, 1105, 113, 391, 72]",349.968,43
43,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580, 797, 1105, 113, 391, 72, 616]",349.922,44
44,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580, 797, 1105, 113, 391, 72, 616, 440]",351.415,45
45,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580, 797, 1105, 113, 391, 72, 616, 440, 435]",351.742,46
46,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580, 797, 1105, 113, 391, 72, 616, 440, 435, 230]",354.474,47
47,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580, 797, 1105, 113, 391, 72, 616, 440, 435, 230, 426]",355.397,48
48,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580, 797, 1105, 113, 391, 72, 616, 440, 435, 230, 426, 1049]",357.844,49
49,"[104, 40, 380, 130, 232, 22, 313, 71, 414, 563, 23, 184, 428, 611, 326, 432, 218, 340, 756, 494, 236, 188, 6, 587, 321, 417, 411, 398, 307, 164, 112, 705, 500, 433, 1033, 1004, 219, 580, 797, 1105, 113, 391, 72, 616, 440, 435, 230, 426, 1049, 554]",358.566,50
