,S,average cover size,k
37,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018]",455.672,38
38,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018, 71]",455.45,39
39,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018, 71, 500]",456.039,40
40,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018, 71, 500, 670]",456.253,41
41,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018, 71, 500, 670, 1070]",458.033,42
42,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018, 71, 500, 670, 1070, 523]",459.642,43
43,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018, 71, 500, 670, 1070, 523, 658]",460.383,44
44,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018, 71, 500, 670, 1070, 523, 658, 865]",461.349,45
45,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018, 71, 500, 670, 1070, 523, 658, 865, 414]",461.735,46
46,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018, 71, 500, 670, 1070, 523, 658, 865, 414, 494]",463.752,47
47,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018, 71, 500, 670, 1070, 523, 658, 865, 414, 494, 894]",464.605,48
48,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018, 71, 500, 670, 1070, 523, 658, 865, 414, 494, 894, 705]",464.956,49
49,"[104, 26, 563, 433, 64, 340, 141, 40, 188, 23, 22, 236, 313, 748, 218, 899, 164, 611, 232, 248, 597, 74, 756, 307, 6, 184, 514, 51, 326, 593, 587, 157, 30, 112, 440, 603, 426, 1018, 71, 500, 670, 1070, 523, 658, 865, 414, 494, 894, 705, 1004]",471.398,50
