,S,average cover size,k
37,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670]",495.696,38
38,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670, 387]",496.408,39
39,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670, 387, 426]",497.719,40
40,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670, 387, 426, 157]",499.815,41
41,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670, 387, 426, 157, 411]",499.302,42
42,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670, 387, 426, 157, 411, 928]",501.193,43
43,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670, 387, 426, 157, 411, 928, 74]",501.165,44
44,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670, 387, 426, 157, 411, 928, 74, 692]",503.154,45
45,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670, 387, 426, 157, 411, 928, 74, 692, 430]",503.024,46
46,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670, 387, 426, 157, 411, 928, 74, 692, 430, 597]",505.495,47
47,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670, 387, 426, 157, 411, 928, 74, 692, 430, 597, 764]",506.643,48
48,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670, 387, 426, 157, 411, 928, 74, 692, 430, 597, 764, 314]",507.292,49
49,"[40, 104, 433, 23, 71, 563, 141, 218, 587, 494, 30, 611, 500, 307, 232, 756, 188, 321, 100, 837, 428, 198, 552, 51, 554, 528, 236, 658, 26, 808, 656, 380, 313, 1004, 66, 22, 164, 670, 387, 426, 157, 411, 928, 74, 692, 430, 597, 764, 314, 340]",507.081,50
